ID,所属游戏,标题,别名,编码,所属期数,第一張卡url,最後一張卡url,備註,如何找尋卡片 url ?,
,1,漫畫-YCB2,YCB2,YCB2,-1,,,,,
,1,漫畫-YF01,YF01,YF01,-1,,,,,
,1,漫畫-YF02,YF02,YF02,-1,,,,,
,1,漫畫-YF03,YF03,YF03,-1,,,,,
,1,漫畫-YF04,YF04,YF04,-1,,,,,
,1,漫畫-YF05,YF05,YF05,-1,,,,,
,1,漫畫-YF06,YF06,YF06,-1,,,,,
,1,漫畫-YF07,YF07,YF07,-1,,,,,
,1,漫畫-YF08,YF08,YF08,-1,,,,,
,1,漫畫-YF09,YF09,YF09,-1,,,,,
,1,漫畫-YG01,YG01,YG01,-1,,,,,
,1,漫畫-YG02,YG02,YG02,-1,,,,,
,1,漫畫-YG03,YG03,YG03,-1,,,,,
,1,漫畫-YG04,YG04,YG04,-1,,,,,
,1,漫畫-YG05,YG05,YG05,-1,,,,,
,1,漫畫-YG06,YG06,YG06,-1,,,,,
,1,漫畫-YG07,YG07,YG07,-1,,,,,
,1,漫畫-YG08,YG08,YG08,-1,,,,,
,1,漫畫-YG09,YG09,YG09,-1,,,,,
,1,漫畫-YO01,YO01,YO01,-1,,,,,
,1,漫畫-YO02,YO02,YO02,-1,,,,,
,1,漫畫-YO03,YO03,YO03,-1,,,,,
,1,漫畫-YO04,YO04,YO04,-1,,,,,
,1,漫畫-YO05,YO05,YO05,-1,,,,,
,1,漫畫-YO06,YO06,YO06,-1,,,,,
,1,漫畫-YO07,YO07,YO07,-1,,,,,
,1,漫畫-YOS1,YOS1,YOS1,-1,,,,,
,1,漫畫-YR03,YR03,YR03,-1,,,,,
,1,漫畫-YR04,YR04,YR04,-1,,,,,
,1,漫畫-YR05,YR05,YR05,-1,,,,,
,1,漫畫-YR1,YR1,YR1,-1,,,,,
,1,漫畫-YS01,YS01,YS01,-1,,,,,
,1,漫畫-YS02,YS02,YS02,-1,,,,,
,1,漫畫-YZ01,YZ01,YZ01,-1,,,,,
